common_name,species,info
Light-mantled Albatross,Phoebetria palpebrata,"The Light-mantled Albatross is a striking, dark albatross of the Southern Ocean. It was formerly considered conspecific with the Sooty Albatross (P. fusca), the only other species in the genus Phoebetria. Like that species, it is dark brown overall, but Light-mantled is readily distinguished by its namesake, pale brown mantle. Differences in courtship display and timing of breeding prevent interbreeding in locations where the two co-occur. Light-mantled breeds from South Georgia Island east to Campbell and Antipodes islands, nesting biennially alone or in small colonies. In the non-breeding season, it disperses through the Southern Ocean north to central Chile and Argentina."
Wandering Albatross,Diomedea exulans,"This species account is dedicated in honor of John Alexander, member of the Cornell Lab of Ornithology's Administrative Board.

The Snowy Albatross has the largest wingspan of any bird on earth. It takes 9-11 years for individuals to reach sexual maturity, and they may live up to 80 years or more. Juveniles are dark brown with a white face, but they gradually lighten as they mature, and older males become entirely white aside from their black remiges and outer wing coverts. Separation of all age groups from the similar Southern Royal Albatross (Diomedea epomophora), and the formerly conspecific Amsterdam Albatross (Diomedea amsterdamensis), Tristan Albatross (Diomedea dabbenena), and Antipodean Albatross (Diomedea antipodensis) requires great care. The Snowy Albatross breeds on islands in the Southern Ocean from South Georgia east to the Antipodes. Highly pelagic, it spends the majority of the year wandering the southern oceans, coming to land only once every two years to breed. Nests are placed on slopes with sparse grass tussocks and with an exposed site for easy takeoff."
Laysan Albatross,Phoebastria immutabilis,"The Laysan Albatross is a large seabird but a relatively small albatross, distinguished from most other species of albatross by its Northern Hemisphere distribution and its sub-tropical breeding range. It breeds mainly on atolls in the Hawaiian Archipelago during the northern winter, and spends the non-breeding months of July-November in the North Pacific Ocean. Following the loss of hundreds of thousands of breeders early in the 20th century to feather hunters and military development, this species has recently colonized new breeding grounds in the main Hawaiian Islands, the Bonin Islands, and Guadalupe Island off the Mexican coast. Currently listed as Vulnerable by IUCN, this species is comprised of an estimated 590,000 breeding pairs as of 2005 (Naughton et al. 2007b).

Like other albatrosses, the Laysan's mating dance is elaborate and its method of flying (“dynamic soaring”) is spectacular. In the absence of wind, however, albatrosses have difficulty becoming airborne or landing. Although Laysans usually do not breed successfully until age 8-9 years, they are long-lived (individuals at least 55 years old have bred) and capable of breeding annually.

Laysan Albatrosses feed mainly on squid, but fish, fish-eggs, and crustaceans are also taken. These seabirds are known to possess high levels of rhodopsin, a visual pigment that enhances nocturnal vision and are known to be active at night when squid are plentiful in surface waters. However, daytime activity suggestive of foraging is common, and diurnal scavenging is another potential feeding strategy. At sea, Laysans are sometimes caught on fish hooks and in salmon and squid gillnets. Estimated loss to driftnets in 1990, just prior to closure of this fishery, was over 17,500 birds, nearly 1% of the total population.

Breeding behavior and physiology have been studied extensively (Rice and Kenyon 1962b, Rice and Kenyon 1962a, Whittow 1980b, Whittow 1980a, Whittow 1984a, Whittow 1983). Recent technological advancements in satellite tracking contributed to improved understanding of pelagic habitat and movements outside of the breeding colony (Fernandez et al. 2001, Hyrenbach et al. 2002, Shaffer et al. 2005) and breeding season (Fischer et al. 2009). Conservation concerns about effects of fishery interactions and plastic ingestion on the population also motivate current research."
Black-footed Albatross,Phoebastria nigripes,"The Black-footed Albatross is the only uniformly dark-plumaged albatross of the North Pacific Ocean. It nests for the most part on remote beaches in the Hawaiian Archipelago during the northern winter and spring, and then wanders widely across North Pacific waters as far as Alaska, California, Taiwan, and the Bering Sea. This is the only albatross seen regularly off the Pacific coast of North America.

This albatross feeds mainly on squid and on the eggs of flying-fish, although it often follows ships and trawlers, picking up offal left in their wake. Like other tube-nosed birds, its olfactory lobes are well-developed, probably helping it to locate food in the vast reaches of oceanic waters. Along with its food, this species is known to ingest considerable amounts of floating plastic (a growing pelagic phenomenon).

Black-footed and Laysan albatrosses are sister taxa and share breeding sites and many behaviors, including features of their mating dance, and the two species hybridize occasionally. The Black-footed is the more aggressive of the two. Black-footeds are less abundant than Laysans, with a worldwide abundance estimated at about 278,000 individuals (including 58,000 breeding pairs), with an apparent decrease between 1992 and 2004. Fishing (drift) nets and longlines threaten both species; nearly 4,500 Black-footed Albatross were killed in nets in 1990 alone, but successful efforts to mitigate such loss have steadily reduced Black-footed by-catch since then.

Substantial ethological and physiological studies (Fisher 1948a, Fisher 1972, Rice and Kenyon 1962b, Rice and Kenyon 1962a, Whittow 1984, Whittow 1983) conducted on breeding islands of Black-footed Albatross have been augmented by at-sea observations (Shuntov 1974), and more recently by extensive satellite tracking, which has elucidated marine distribution and habitat of this species and other North Pacific albatrosses (Fernandez et al. 2001, Hyrenbach et al. 2002, Shaffer et al. 2005). Identifying population-level effects of fishery bycatch and ingestion of contaminants and plastics has also motivated recent research."
Waved Albatross,Phoebastria irrorata,"Among albatrosses, the Waved Albatross has a unique distribution, and striking morphological features, which make it unmistakable. While most species are either concentrated to the south of the Tropic of Capricorn or north of the Tropic of Cancer, the Waved Albatross occurs almost exclusively off the northwest coast of South America and is thus the only species to occur exclusively within tropical latitudes. The species nests primarily on Española (Hood) Island in the Galápagos archipelago but also has a small colony on Isla de la Plata off the coast of Ecuador. The breeding season starts when the albatrosses return to land in March. Non-breeders range at sea off the coasts of Ecuador, Peru, and northern Chile, where they feed on large fish and squid. Due to the nocturnal habits of the squid, Waved Albatross often forages primarily at night.

The species is classified as Critically Endangered, as the population suffered a heavy decrease between 1994 and 2008; also, it is very sensitive to the vagaries caused by the El Niño–Southern Oscillation (ENSO) cycle, and Waved Albatross further suffers from incidental and targeted capture by fisheries (1, 2)."
Short-tailed Albatross,Phoebastria albatrus,"Short-tailed Albatross is a rare seabird of the northern Pacific Ocean. The species breeds almost exclusively on islands off of Japan, though recent nesting at Midway Atoll in Hawaii gives hope that this albatross will expand its breeding range and give a bit more stability to this precariously small population. Short-tailed Albatross is extremely rare in the Neotropics, as it occurs only casually off of the northwestern Mexican coast; however, the lack of much pelagic coverage in this region might cause the species to be underreported. Farther north in North America, the species is rare along the west coast of the contiguous United States and Canada, but is frequently observed in Alaskan waters. Adults are largely white with black tail and black wings marked with white wing covert patches, a yellow nape shawll, while juveniles are sooty brown and gradually get whiter with age. All ages of Short-tailed Albatross show a huge pink bill. Hunting and bycatch in human fishing activities have contributed to the major decline of this species from the millions to just over a thousand individuals today, though the population is currently on the rebound."
Wilson's Storm-Petrel,Oceanites oceanicus,"Wilson’s Storm-Petrel is commonly regarded as one of the most abundant seabirds, if not one of the most abundant birds in the world, with a population reaching several million pairs. It is also the most cosmopolitan of any member of the order Procellariiformes and, though breeding in the Southern Oceans, can be found in all oceans of the world, from the coast of Antarctica to the Arctic waters of the Atlantic Ocean, and furthers ranges into large intercontinental waters such as the Persian Gulf, the Red Sea and the Gulf of Mexico. Indeed, the only large portion of oceanic water where it is absent is the north Pacific Ocean. Being such a habitat generalist (relative to other pelagic seabirds), Wilson’s Storm-Petrel also is a food generalist, feeding on a wide variety of planktonic crustaceans. In pursuit of its food, Wilson's Storm-Petrel forages mainly on the wing, in typical storm-petrel fashion, gently dipping its feet into the water to attract or disturb food items that are close to the surface."
White-faced Storm-Petrel,Pelagodroma marina,"White-faced Storm-Petrel is a trademark pelagic species known for its distinctive plumage and behavior at sea.  The species breeds on remote islands in northern and southern Atlantic Ocean as well as Australia and New Zealand, and is distributed well offshore from both coasts of South America and rarely from the east coast of North America.  When seen at sea, the species is often detected by its low, bounding flight; White-faced Storm-Petrels actually push their feet off the surface of the water and are favored by birders for these pogo-stick antics.  The species shows a white head with dark cap and eye patch, brown upperparts with blackish remiges, and white underparts."
Black-bellied Storm-Petrel,Fregetta tropica,"The Black-bellied Storm-Petrel is very closely related to the White-bellied Storm-Petrel (Fregetta grallaria), but as the name implies, their belly color is different (though this does depend on subspecies). In addition to differing in plumage, the two species also differ in habitat preference, with Black-bellied Storm-Petrel preferring colder waters and breeding to the south of White-bellied Storm-Petrel, making it is a true sub-Antarctic breeder. Fregetta storm-petrels are generally grayish or blackish above, with a black hood, dark upperwings and tail with a pale carpal bar and white wing linings as well as largely white underparts below the hood. Black-bellied Storm-Petrel shows a bold black central belly stripe, although in the field this can be difficult to see in profile with dark water as a background. Black-bellied Storm-Petrel also has longer legs (which project beyond the tip of the tail in flight), and darker upperparts than White-bellied Storm-Petrel. Members of the genus Fregetta all forage in an unusual manner, skipping off waves using one leg, in an asymmetrical skip. Black-bellied Storm-Petrel occurs in the Pacific, Indian, and Atlantic Ocean basins. When not breeding, it migrates north, although its nonbreeding distribution is not well known."
European Storm-Petrel,Hydrobates pelagicus,"This account summarizes the life history of the European Storm-Petrel, including information relating to its identification, systematics, distribution, habitat, diet, vocalizations, breeding ecology, and conservation status."
Fork-tailed Storm-Petrel,Hydrobates furcatus,"Among the most northerly breeding species of the family Hydrobatidae, the Fork-tailed Storm-Petrel is found only in the North Pacific Ocean. It is one of the most common marine birds breeding in Alaska and the second most abundant and widespread of the storm-petrels (5-10 million individuals). Although most abundant in Alaska, this small seabird nests along the North American coast from northern California to Alaska and also along the northeast coast of Asia. After the long nesting season, individuals move southward and disperse over much of the North Pacific Ocean.

Like other storm-petrels, this species is sexually monomorphic in plumage and general morphology: one of its distinguishing characteristic is its bluish-gray color, resembling the prions (Pachyptila spp.), a group of petrels from the Southern Hemisphere. Like almost all small procellariiforms, it is mainly pelagic, spending up to 8 months of the year at sea. Size of breeding colonies varies widely, some containing thousands of individuals, while others hold only a few. Strictly nocturnal, the species is monogamous and both sexes invest equally in breeding, lay a clutch of 1, and raise no more than a single chick each year. Incubation and nesting periods are protracted, chick growth is slow, reproductive maturity is delayed, and adult survival is high. Pairs generally nest in burrows or crevices in talus slopes, but they also use burrows they excavate and sometimes use side chambers of other burrowing seabirds. Their ex-treme life-history characteristics are thought to result from exploiting a highly unpredictable en-vironment.

Two subspecies are recognized, the differences between them being clinal, however. In northerly habitats (for example, the Aleutian Islands), individuals are lighter in coloration and slightly larger, and may feed closer to shore. Individuals in more southerly populations-Washington, Oregon, and California-are smaller in size and generally more gregarious. The species does not usually form large flocks, but is often seen foraging in small groups over continental shelf waters or at the shelf break. Following ships during the day, the species is often attracted by boat lights at night. Its main diet is zooplankton, nekton, and small fish, which it usually captures while hovering, pattering with wings partly spread, or dipping at the surface of the sea.

Reproductive adaptations of the Fork-tailed Storm-Petrel-such as low incubation temperature, tolerance to egg neglect, torpor in chicks, and variable interannual growth rates-represent extremes among the family Hydrobatidae. The constraints of predation, spatial and temporal availability of food, and climate are more evident in features of its breeding biology than in most other seabirds. The opportunistic nature of this petrel in its habitat use, ability to forage over broad areas, and proclivity for ingesting surface contaminants-plus the tolerance of eggs and young to extreme inattention-make it an intriguing subject for ecological, physiological, and conservation research.

Much is known about Fork-tailed Storm-Petrel breeding biology, particularly on East Amatuli Island, Alaska (1). Comparative studies in southern and western colonies are lacking. Studies examining its life at sea, navigation, and orientation and homing abilities are likely to prove rewarding. Conservation will require removal of introduced predators on nesting islands and also a better understanding of interactions with other species."
Ringed Storm-Petrel,Hydrobates hornbyi,"The Ringed Storm-Petrel or Hornby’s Storm-Petrel is an endemic seabird of the Humboldt Current zone. The location of its breeding colonies long was among the greatest mysteries for seabirds (1). Juveniles had been found well inland in the lights of mines and other inhabited areas of the Peruvian and Chilean desert, which led the project ""Golondrinas del Desierto"" of the Chilean NGO Red de Observadores de Aves y Vida Silvestre de Chile (ROC) to conduct dozens of excursions into the Atacama Desert. Breeding sites were confirmed only in 2017, when the very first colony was discovered nesting in natural cavities near the town of Diego de Almagro, 70 km from the coast (2). Offshore this species is found farther out, in deeper water, than other sympatric storm-petrels, making it more difficult to find than its relatives on regular pelagic trips. The Ringed Storm-Petrel also is one of the most boldly marked and distinctive small seabirds in the world, having white underparts, a dark breast band, gray upperparts, and a dark hood."
Swinhoe's Storm-Petrel,Hydrobates monorhis,"This account summarizes the life history of the Swinhoe's Storm-Petrel, including information relating to its identification, systematics, distribution, habitat, diet, vocalizations, breeding ecology, and conservation status."
Leach's Storm-Petrel,Hydrobates leucorhous,"This species account is dedicated in honor of Chuck Huntington, director of the Bowdoin Scientific Station on Kent Island (1953–1989), and Bill Ellison, a member of the Cornell Lab of Ornithology's Administrative Board.

Leach's Storm-Petrel, also known as Leach's Petrel or Mother Cary's Chicken, is the most widespread procellariiform breeding in the Northern Hemisphere. More than 6 million pairs nest in burrows or crevices on Atlantic islands from Norway to Massachusetts and on Pacific islands from Baja California to Hokkaido, Japan. Outside the long nesting season, these seabirds disperse widely in the Atlantic and Pacific oceans, well away from land and mainly in the tropics. Millions more nonbreeding individuals, mostly immatures, remain at sea year-round, although many of them visit colonies during the nesting season, often covering vast distances. Small and dark and not usually gregarious or attracted to ships, this species is inconspicuous at sea. Much work remains to determine the nonbreeding distributions of these populations.

Populations breeding on Guadalupe Island off Baja California are now considered separate species; the summer-breeding Townsend’s Storm-Petrel (O. socorroensis) and winter-breeding Ainley’s Storm-Petrel (O. cheimomnestes). The smaller, dark-rumped Swinhoe's Storm-Petrel (Oceanodroma monorhis), nesting off Japan, Korea, China, and Russia, is so similar that it had been considered a subspecies of Leach's Storm-Petrel; the two are appropriately considered a superspecies.

Like all storm-petrels (as far as it is known), this species feeds on zooplankton and nekton at the surface of the sea, pecking at individual organisms while hovering, resting briefly on the surface, or, rarely, pattering with wings partly spread. Nesting in burrows dug on wooded or treeless islands or in crevices among rocks, individuals return faithfully each year to their colony. While individuals fly to and from their subterranean nests over their colonies at night, they utter a loud Chatter Call; in the nest they produce a Purring Call, often as a duet, for many minutes at a time. Like all procellariiforms, this species is long-lived and lays only one egg per year. Both sexes incubate and feed the young, which develops slowly and becomes very fat before slimming down to flying mass in the fall."
Townsend's Storm-Petrel,Hydrobates socorroensis,"A poorly known and Endangered seabird, Townsend's Storm-Petrel is found in the Pacific Ocean off the coast of Mexico and southern California. It shares with Ainley's Storm-Petrel (Hydrobates cheimomnestes) a very restricted breeding distribution: both species nest only on a few islets at the southern end of Guadalupe Island, off of the northwestern coast of Mexico. Although these two species share the same islets, they scarcely overlap, as each breeds at a different time of year. Townsend's Storm-Petrel occupies the site in the warmer months, with egg laying from late May to the end of June, and the nestlings fledge in late September and early October. In addition to this temporal segregation, Ainley's Storm-Petrel and Townsend's Storm-Petrel have different vocalizations, and also have subtle size and plumage differences. Very little is known about the non-breeding distributions of these species, due to their similarity to each other and to Leach's Storm-Petrel (Hydrobates leucorhous), and to the rarity of both species, but Townsend's Storm-Petrel disperses both north and south at sea, extending from the waters off of southern California, United States, and at least to a latitude of 10º N."
Ainley's Storm-Petrel,Hydrobates cheimomnestes,"Ainley's Storm-Petrel shares with Townsend's Storm-Petrel (Hydrobates socorroensis) a very restricted breeding distribution, on a few islets at the southern end of Guadalupe Island, off the northwestern coast of Mexico. Although these two species share the same islets, they scarcely overlap, because each species breed at a different time of year. Ainley's Storm-Petrel breeds in winter, presumably between October and April. In addition to this temporal segregation, these two storm-petrels have differences in vocalizations, and also have a subtle size and plumage differences. Very little is known about the nonbreeding distribution of these species, due to their similarities to each other and to Leach's Storm-Petrel (Hydrobates leucorhous). For example, it was only recently described for U.S. waters. It is thought that Ainley's Storm-Petrel migrates to the south, occurring as far as near Galapagos."
Ashy Storm-Petrel,Hydrobates homochroa,"Among the four, dark storm-petrel species that nest on xeric islands along the Pacific coast from northern Baja California (Mexico) to northern California (United States), the Ashy Storm-Petrel has the most northerly distribution. Foraging in the near-coast waters, this species' dark smoke-gray color befits its often foggy environment. Like other storm-petrel species, the Ashy Storm-Petrel arrives and departs its nesting areas only at night—unlike most others, it is nonmigratory and has no expansive post-breeding dispersal. Rather, the Ashy Storm-Petrel frequents its nesting islands for most of the year (except to some degree during the autumn molt), and feeds nearby in offshore waters of the California Current, one of the richest ocean regions on the globe.

Like other species in the Order Procellariiformes, the female Ashy Storm-Petrel produces only a single egg in any reproductive season. Unlike other storm-petrels that migrate and lay eggs synchronously with other colony members, egg-laying by the Ashy Storm-Petrel is asynchronous and spread over several months. The chicks of some pairs can be half grown at the time when other pairs lay their egg. Both incubation and nestling periods are very long by avian standards. Consistent with the extended occupation of the colony and nesting duties, molt in the Ashy Storm-Petrel also is prolonged and overlaps broadly with breeding; this differs from the segregated molt schedules of migratory procellarids.

The global breeding population of the Ashy Storm-Petrel is not known, but is estimated to be on the order of 8,200 birds (range 3,000–13,250). Fluctuation in population size also is poorly known. Numbers may have been negatively affected by increased abundance of the predatory Western Gull (Larus occidentalis), whose population has grown immensely in recent decades, and introduced rodents that have invaded the larger islands where this storm-petrel nests or formerly nested. Owls attracted to the rodents, including native species on some islands, also take storm-petrels. Native mesopredators, such as foxes and skunks on some of the nesting islands, limit the availability of appropriate nesting habitat for the Ashy Storm-Petrel.

Although these factors may contribute to population instability, breeding birds are distributed among 33 known breeding sites, and may nest at around 15 others where only their presence thus far has been detected. Despite the seemingly high number of breeding sites, suitable nesting habitat is limited, contributing to a high prevalence of nonbreeding individuals in the population. Owing to significant exchange among breeding sites, the definition of what constitutes a “colony” in this species is problematic. Almost all breeding sites are afforded a measure of protection from the direct encroachment of human civilization, as almost all are within federal and state public lands. Regardless, a number of them are vulnerable to various negative environmental factors."
Band-rumped Storm-Petrel,Hydrobates castro,"Editor's Note: Due to a recent taxonomic revision, this species account is still being edited and may contain content from an earlier version of the account.

The Band-rumped Storm-Petrel ranges throughout the Pacific and Atlantic Oceans. It breeds away from continental areas on remote islands of Japan, the Hawaiian Archipelago, Galápagos, and small Eastern Atlantic islands off the coasts of Spain and Africa. Band-rumped Storm-Petrels, originating from Eastern Atlantic breeding populations and once thought only to be blown to the North American coast by storms, are now known to be regular visitors to within 50 kilometers of the Atlantic and Gulf Coasts. In the United States, this species breeds only in the Hawaiian Archipelago, where it is the rarest and smallest breeding seabird; exact locations for most colonies in the Hawaiian Archipelago are still unknown, though evidence suggests that some exist high on Hawaiian volcanoes (from about 2,400 to 3,350 m), making this one of the highest nesting seabird species in the world. The Band-rumped Storm-Petrel is not considered threatened worldwide, though it is a candidate for listing (U.S. Fish and Wildlife Service [USFWS] 1) because of its very small population size in the Hawaiian Archipelago.

Band-rumped Storm-Petrels are members of the family Hydrobatidae (order Procellariiformes), characterized generally by small size and dark plumage (lighter underparts), nocturnal colony attendance, burrow-nesting behavior, and seizing of prey from the ocean surface. It is a member of the Northern Hemisphere subfamily Hydrobatinae, which is characterized by long, pointed wings; notched tails; and legs that do not project beyond the tail in flight. In contrast, the subfamily Oceanitinae is of Southern Hemisphere origin, and its species are characterized by short, rounded wings and legs usually extending beyond square tails.

Storm-petrels, in general, are difficult to observe, and the Band-rumped Storm-Petrels are no exceptions. To avoid predation, populations breed on remote islands and often in inaccessible places, spending the nonbreeding season far out to sea. When breeding, they fly about over the ocean by day to feed on surface plankton and return to land only after dark, when they feed their young in cryptic nest burrows. Storm-petrels sighted at sea are usually hard to identify with certainty owing to often difficult viewing conditions, reluctance to follow ships, and the close similarities among species. Flight characteristics are often the key to distinguishing species.

Owing to these difficulties, few researchers have studied Band-rumped Storm-Petrels in any detail. There are only 2 major breeding studies of Band-rumped Storm-Petrel: Allan (2; Ascension I.) and Harris (3; Galápagos Is.). Interestingly, more recent work on Band-rumped Storm-Petrel discovered that populations breeding at different seasons on one island in the Azores are distinct morphologically and genetically, generating allochronic speciation with the Monteiro's Storm-Petrel (Hydrobates monteiroi) (4)."
Wedge-rumped Storm-Petrel,Hydrobates tethys,"The Wedge-rumped Storm-Petrel, formerly known as the Galapagos Storm-Petrel is a small species and appears to be most closely related to the Least Storm-Petrel (Halocyptena microsoma). Once confirmed it may then require the Wedge-rumped to be shifted to the Halocyptena genus. The present English name highlights the triangular shape of the white rump patch, in itself distinctive. Quite unusual is that the Wedge-rumped Storm-Petrel is the only storm-petrel that visits its colonies during the day, at least in the Galapagos population. On the well known Genovesa Island colony, Short-eared Owls (Asio flammeus galapagoensis) is a major predator of the storm-petrels. It is hypothesized that they conduct diurnal visits to the colony because they are largely nocturnal foragers. However, there is a separate subspecies (kelsalli) that breeds on islands off Peru and Chile in the Humboldt Current and these birds are typically nocturnal at the colonies as is the norm in the family. During the non-breeding season the species ranges north to at least central Mexico, and south to northern Chile."
Black Storm-Petrel,Hydrobates melania,"The Black Storm-Petrel inhabits tropical, subtropical, and warm-temperate waters of the extreme eastern North Pacific Ocean, where it nests in xeric habitat on islands. Its breeding range overlaps broadly with several other all-dark Oceanodroma storm-petrels, often cohabiting the same islands and even (sometimes sequentially) the same nesting crevices. Nesting habitat is divided on the basis of a nesting cavity-size to body-size relationship. As is true of most all-dark forms, the Black Storm-Petrel does not excavate its own nesting cavity, unlike many other storm-petrel species. Like almost all storm-petrels, the Black Storm-Petrel is active at colonies only at night, a defense against avian predators. Breeding populations are limited by availability of nesting habitat and have been affected immensely by the introduction of feral and predatory mammals to islands.

Similar to other seabirds that nest in the Gulf of California, the Black Storm-Petrel exhibits an unusual bifurcation in its overwintering range. The species vacates the Gulf of California and southern Pacific Baja California coast, with some portion of the population moving north to waters off southern and central California and another, larger portion, moving south to waters off Central America and northern South America. This range bifurcation may be an adaptive strategy to avoid entrapment by hurricanes in the Gulf of California and along the adjacent Mexican coast.

The Black Storm-Petrel has been little studied on its nesting grounds, owing to the difficult habitat it occupies on breeding islands (rocky talus with dense growth of cactus). What is known mostly confirms a basic storm-petrel life-history strategy: burrow-nesting, nocturnal nest visitation, 1-egg clutch, slow chick growth, etc. (cf. 1, 2, 3). What is remarkable is the concentration of so many storm-petrel species among the islands of Baja California (Mexico) and southern California (United States), with diversification seemingly related to body size and use of marine habitat. Upon extinction of the Guadalupe Storm-Petrel (H. macrodactyla) in the 20th century, the Black Storm-Petrel is now the largest and is the most inshore of the group."
Guadalupe Storm-Petrel,Hydrobates macrodactylus,"The Guadalupe Storm-Petrel was described in 1887, it was said to be an abundant breeder on Guadalupe Island, Mexico in 1906, and the last records of birds on Guadalupe come from 1912. It then disappeared and has not been seen again! Some consider the species extinct, while other hold out hope that it still exists. Predation by introduced rats, and habitat alteration by introduced goats are thought to be the culprits in the demise of the species. However, other storm-petrels have survived on the island, so perhaps another factor was involved? There is nothing known about the at-sea distribution of this storm-petrel. It was large and dark, with a white rump. It is thought to have been closely related to the Leach's Storm-Petrel (Hydrobates leucorhous) complex, and although larger than the Leach’s it would be very difficult to separate from it without detailed study. The Guadalupe Storm-Petrel processed a broader and thicker bill, and apparently paler underwings than white-rumped Leach's Storm-Petrel."
Markham's Storm-Petrel,Hydrobates markhami,"The Markham's Storm-Petrel is a large, all-dark storm-petreI that is endemic to the Humboldt Current off South America. It is similar in appearance to the migratory Black Storm-Petrel (Hydrobates melania) of the northern hemisphere, and the two species occur together at times; however, Markham's Storm-Petrel prefers cooler water and can be distinguished by its shallower wingbeat and notably shorter tarsi.

Although a relatively common bird, its secretive habits and the relative difficulty of its observation have long obscured even its most basic biology. For many years, its breeding grounds were a mystery, and it was only through recent (2013–2023) investigations led by the Red de Observadores de Aves y Vida Silvestre de Chile (ROC) and the Servicio Agricola y Ganadero of Chile that several colonies were finally discovered in the middle of the Atacama Desert. These findings were fundamental to a better understanding of the species' natural history, and provided the key to unlock crucial population size estimates.

From those discoveries, it is now known that Markham's Storm-Petrel breeds in colonies that are situated within natural cavities formed beneath saltpeter deposits in the Atacama and Sechura deserts of Chile and Peru. Colonies are located between 200 to 1100 meters above sea level, with some as far as 25 km inland.

The saltpeter deposits that are crucial to the species' nesting are subject to a litany of threats, including salt-mining operations, energy projects (solar and wind farms), and military activities, which may disrupt or destroy crucial breeding habitat. In addition, several thousand fledglings are grounded each year due to light pollution in the Atacama Desert. Presently, Markham's Storm-Petrel holds a status of Near Threatened according to the IUCN, and urgent conservation efforts and further research are imperative to safeguard its breeding habitat and ensure its continued survival."
Tristram's Storm-Petrel,Hydrobates tristrami,"Editor's Note: Due to a recent taxonomic revision, this species account is still being edited and may contain content from an earlier version of the account.

Tristram's Storm-Petrel is one of the largest of all the storm-petrels. It is rather sedentary, breeding only in the remote Northwestern Hawaiian Islands and small islands off Japan; at sea, it remains close to and between the 2 archipelagoes. Tristram's Storm-Petrel is considered near threatened (1) as a result of population declines due to overexploitation and introduction of mammalian predators by humans.

Tristram's Storm-Petrels are members of the family Hydrobatidae (order Procellariiformes), which is characterized generally by small size and dark plumage (lighter underparts), nocturnal colony attendance, burrow-nesting behavior, and seizing of prey from the ocean surface. It is a member of the Northern Hemisphere subfamily Hydrobatinae, which is characterized by long, pointed wings; notched tails; and legs that do not project beyond the tail in flight. In contrast, the subfamily Oceanitinae is of Southern Hemisphere origin, and its species are characterized by short, rounded wings and legs usually extending beyond square tails.

Storm-petrels, in general, are difficult to observe, and Tristram's Storm-Petrel is no exception. To avoid predation, populations breed on remote islands and often in inaccessible places, spending the nonbreeding season far out to sea. When breeding, they fly about over the ocean by day to feed on surface plankton and return to land only after dark, when they feed their young in cryptic nest burrows. Storm-petrels sighted at sea are usually hard to identify with certainty owing to often difficult viewing conditions, reluctance to follow ships, and the close similarities among species. Flight characteristics are often the key to distinguishing species.

Due to these difficulties, few researchers have studied Tristram's Storm-Petrels in any detail, and the time of writing, there is only one detailed breeding study (2) for the species. Because of the secretive habits of this species, and remoteness and/or inaccessibility of their breeding sites, estimates of populations are out of date and inaccurate, making their protection difficult."
Least Storm-Petrel,Hydrobates microsoma,"Sometimes treated as the sole member of the genus Halocyptena, a compound word derived from the Greek words for sea, speedy and winged, the Least Storm-Petrel is the smallest member of the Hydrobatidae. It is a uniformly sooty black bird with a wedge-shaped tail and a paler gray-brown upperwing bar. The flight is often fluttering. Although the Least Storm-Petrel is virtually confined as a breeding bird to the Gulf of California, where it nests under rocks and in crevices on most predator-free islands, as well as on three islands in the San Benito archipelago off western Baja California, during the non-breeding season (September–June) the species wanders at sea as far south as the equator. The species’ diet consists mostly of small plankton."
Northern Giant-Petrel,Macronectes halli,"The Northern Giant-Petrel is, as the name implies, the northern half of the giant-petrel superspecies. Both species are broadly sympatric over much of the Southern Oceans and though it has a circumpolar foraging range the northern species shies away from Antarctic waters and breeds only on islands in the south Indian Ocean and off of New Zealand. Both species are highly opportunistic and though they generally prefer carrion, they have been known to kleptoparasitize albatrosses and even drown and consume some species of small albatrosses. The giant-petrels are unique in their order, Procellariiformes, in their ability to walk well on land, presumably an adaptation for scavenging washed up carcasses. Such carcasses are a highly contested resource and dominant males will often completely exclude the smaller females. In response these females generally have a diet that includes more live marine prey, e.g. krill, fish, and squid, for which there is less heated intergender competition."
